name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name_original,career_span_original
papai,al,120206,papaa101,papaial01,1009981,1948.0,1955.0,Al Papai,1948-55
karl,andy,116844,karla101,karlan01,1006701,1943.0,1947.0,Andy Karl,1943-47
evans,art,113943,evana102,evansar01,1003858,1932.0,1932.0,Art Evans,1932
gatewood,aubrey,114657,gatea101,gatewau01,1004573,1963.0,1970.0,Aubrey Gatewood,1963-70
schultz,barney,121886,schub101,schulba01,1011625,1955.0,1965.0,Barney Schultz,1955-65
flowers,ben,114256,flowb101,flowebe01,1004173,1951.0,1956.0,Ben Flowers,1951-56
humphreys,bob,116311,humpb102,humphbo01,1006184,1962.0,1970.0,Bob Humphreys,1962-70
moorhead,bob,119328,moorb102,moorhbo01,1009133,1962.0,1965.0,Bob Moorhead,1962-65
purkey,bob,120807,purkb101,purkebo01,1010572,1954.0,1966.0,Bob Purkey,1954-66
tiefenauer,bobby,123334,tiefb101,tiefebo01,1013057,1952.0,1968.0,Bob Tiefenauer,1952-68
shantz,bobby,122060,shanb102,shantbo01,1011804,1949.0,1964.0,Bobby Shantz,1949-64
dal canton,bruce,113002,dalcb101,dalcabr01,1002936,1967.0,1977.0,Bruce Dal Canton,1967-77
haeger,charlie,446624,haegc001,haegech01,3545,2006.0,2010.0,Charlie Haeger,2006-2010
hough,charlie,116176,hougc001,houghch01,1006050,1970.0,1994.0,Charlie Hough,1970-94
hudson,charlie,116260,hudsc101,hudsoch01,1006133,1972.0,1975.0,Charlie Hudson,1972-75
zink,charlie,468402,zinkc001,zinkch01,4180,2008.0,2008.0,Charlie Zink,2008-2008
beers,clarence,110795,beerc101,beerscl01,1000775,1948.0,1948.0,Clarence Beers,1948
mckay,cody,150424,mckac001,mckayco01,1615,2002.0,2004.0,Cody McKay,2004
boone,danny,111215,boond101,booneda02,1001185,1981.0,1990.0,Danny Boone,1981-1990
springer,dennis,122618,sprid001,sprinde01,672,1995.0,2002.0,Dennis Springer,1995-02
mulligan,dick,119500,mulld101,mullidi01,1009299,1941.0,1947.0,Dick Mulligan,1941-47
newsome,dick,119750,newsd101,newsodi01,1009547,1941.0,1943.0,Dick Newsome,1941-43
leonard,dutch,117689,leond103,leonadu02,1007533,1933.0,1953.0,Dutch Leonard,1933-1953
harrist,earl,115547,harre101,harriea01,1005411,1945.0,1953.0,Earl Harrist,1945-53
summers,ed,122978,summe101,summeed01,1012719,1908.0,1912.0,Ed Summers,1908-12
cicotte,eddie,112288,cicoe101,cicoted01,1002236,1905.0,1920.0,Eddie Cicotte,1905-20
fisher,eddie,114166,fishe102,fisheed02,1004085,1959.0,1973.0,Eddie Fisher,1959-73
gamboa,eddie,543195,gambe001,gamboed01,6911,2016.0,2016.0,Eddie Gamboa,2016-2016
rommel,eddie,121426,romme101,rommeed01,1011174,1920.0,1932.0,Eddie Rommel,1920-32
pyle,ewald,120819,pylee101,pyleew01,1010582,1939.0,1945.0,Ewald Pyle,1939-45
stiely,fred,122792,stief101,stielfr01,1012533,1929.0,1931.0,Fred Stiely,1929-31
fitzsimmons,freddie,114203,fitzf101,fitzsfr01,1004122,1925.0,1943.0,Freddie Fitzsimmons,1925-43
