Name,T,Career,Notes
John Anderson,R,1958-62,Threw the knuckleball sidearm.
Gene Bearden,L,1947-53,Threw 80% knucklers.
Clarence Beers,R,1948,Pitched 2/3 inning for the Cardinals.
Wade Boggs,R,1997-99,Pitched twice in his career (2.1 INN). Threw 16 knucklers in a 17 pitch inning in 97.
Dan Boone,L,1981-90,Threw 80% knucklers in his 1990 comeback.
Jim Bouton,R,1962-78,Switched to a knuckleball pitcher in 69 after arm injury.
Joe Bowman,R,1932-45,Became a knuckleball pitcher after returning from WWII.
Hal Brown,R,1951-64,Walked only 8 batters in 141 innings in 1963. Pitched 36 consecutive shutout innings in 1964 to set the Oriole record.
Wally Burnette,R,1956-58,"Posted a 2.89 ERA in his rookie season, but couldn't duplicate the performance."
Tom Candiotti,R,1983-99,Added the knuckleball in 1985.
Lew Carpenter,R,1943,"Pitched 4 games for the Senators, didn't give up a run."
George Caster,R,1934-46,Threw his knuckler two speeds: a fast knuckler and a dancer.
Eddie Cicotte,R,1905-20,Probably invented the knuckleball. Originally threw it off his knuckles but quickly switched to the fingertip grip. Threw 75% knucklers.
Glenn Cox,R,1955-58,Mostly a AAA pitcher.
Bruce Dal Canton,R,1967-77,Was a high school teacher/coach in 1965 when signed by the Pirates at age 24. Jumped to the majors in 67 and was an effective spot starter/long reliever.
Jim Davis,L,1954-57,Threw both a screwball and a knuckler.
R.A. Dickey,R,2001 -,Became a knuckleball pitcher in 2005. Also throws knuckle curve.
Art Evans,L,1932,Pitched in 7 games for the White Sox.
Vern Fear,R,1952,Pitched 8 innings for the Cubs.
Jared Fernandez,R,2001-04,One of the few who actually grips the knuckleball with his knuckles.
Eddie Fisher,R,1959-73,"Learned the knuckleball from Hoyt Wilhelm, and the two teamed up to save a record 53 games in 1965. Fisher made 82 relief appearances that year, with 15 wins and 24 saves."
Freddie Fitzsimmons,R,1925-43,"Although famous for his ""knuckleball,"" the pitch was probably a knuckle-curve. Fitzsimmons: ""Nowadays these fellows call theirs the wobbly type, It doesn't turn like a curve.... When I threw the knuckler... I pushed my two fingers forward and usually knew where the ball was going."" Dave Stenhouse threw a similar pitch."
Ben Flowers,R,1951-56,"Once relieved in 8 straight games, followed by a complete game shutout."
Wes Flowers,L,1940-44,Pitched parts of 2 seasons for the Brooklyn Dodgers.
Larry French,L,1929-42,"Became a knuckleball pitcher in 1942. He learned the pitch from Fitzsimmons though, so it may actually have been a knuckle-curve."
Marion Fricano,R,1952-55,Didn't crack the majors until age 30.
Aubrey Gatewood,R,1963-70,Threw 75% knucklers after 1965.
Sam Gibson,R,1926-32,"Threw sidearm. Had only moderate success in the big leagues, but was a legend in the Pacific Coast League - winning 307 games. Pitched until age 47."
